articleid;subarticleid;articlename;external_str_id;ecrlongname;ecrsectionid;sectionname;articlebarcode;unitname;sectiontype;rest;flgbase;subarticlebarcode;flg_disable;flg_disable_name;preparemoment_name;baseprice;ecological_class;articletype;article_type_name;tax_system;tag_1212;tag_1162;tag_1162_name;subarticle_marking;subarticle_marking_name;has_any_bc_marking;has_mrc;isloto;class_path;strpath
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204.1000328;Сопутствующий бизнес New/Cafe/Орбит
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;0;0;1004614.1004828.1004932;Сопутствующий бизнес New/NON-FOOD/Товары для дома
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;9;ПРОЧИЕ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
